브랜드,제품명,원래 가격,최종 가격,리뷰 수,리뷰 등급,점수 비율_5점,점수 비율_4점,점수 비율_3점,점수 비율_2점,점수 비율_1점,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요
유세린,[1&1/10년연속1위] 유세린 하이알루론 3X 아이크림 더블기획 (15ml+15ml),75900,62900,3761,5,80,16,4,0,0,40,55,5,34,14,52,68,30,2
토리든,[단독기획] 토리든 셀메이징 저분자 콜라겐 탄력 크림 60ml 기획 (+20ml),30000,19500,1047,5,79,15,4,1,1,30,61,9,43,24,34,71,29,1
믹순,믹순 콩 크림 50ml,35000,31500,298,5,84,13,3,0,0,63,33,4,89,9,2,88,12,1
비플레인,[스팟진정] 비플레인 시카테롤 스팟 트리트먼트 15ml,22000,17600,274,5,69,19,11,1,1,23,61,16,12,88,1,75,23,2
라운드랩,[단독대용량] 라운드랩 자작나무 수분 크림 120ml 기획 (+수분패드 4매),42000,29800,8279,5,81,13,4,1,1,27,55,18,66,34,1,77,23,1
닥터지,[증정]닥터지 로얄 블랙스네일 크림세트(50ml+15ml),42000,29400,724,5,86,9,4,0,0,54,43,3,68,16,16,66,34,1
바이오힐보,[모공교정] 바이오힐보 프로바이오덤 콜라겐 리모델링 크림 기획세트 (+세럼13ml증정),38000,27900,176,5,82,14,3,0,0,35,62,3,48,21,31,67,33,1
라로슈포제,라로슈포제 에빠끌라 MAT 세보 컨트롤링 모이스춰라이저,34000,27540,520,5,78,14,6,1,2,9,31,60,35,62,3,64,28,8
아이소이,[온라인단독] 아이소이 모이스춰 닥터 장수진 수분크림 70ml+15ml 기획,36000,27000,4477,5,81,14,4,1,1,34,56,10,66,34,0,77,23,0
아이소이,[단독기획] 아이소이 모이스춰 닥터 장수진 수분크림 70ml 기획(+수분앰플 10ml),36000,27000,5542,5,82,14,3,1,1,33,57,10,65,35,0,75,25,1
